Data Access Size, RW Ratio, IO queue depth, Read Bandwidth (KB/s), Read IOPS, Read Latency (ns), Write Bandwidth (KB/s), Write IOPS, Write Latency (ns)
32, 50:50, 32, 231869, 7245.931227, 3371562.669915, 231951, 7248.495979, 1043220.691004
32, 50:50, 1, 131068, 4095.881584, 206315.848624, 131114, 4097.331353, 36365.858856
4, 0:100, 1024, 0, 0.0, 0.0, 324101, 81025.488417, 12636305.92141
128, 100:0, 8, 1530490, 11956.953296, 668722.615187, 0, 0.0, 0.0
8, 50:50, 32, 199307, 24913.424151, 1107105.363798, 198996, 24874.595535, 176576.177433
32, 70:30, 256, 357307, 11165.858931, 18924177.932162, 153428, 4794.637565, 9317665.526982
128, 70:30, 1024, 385104, 3008.629746, 240892756.623288, 164509, 1285.231878, 232704556.344718
4, 0:100, 8, 0, 0.0, 0.0, 324453, 81113.426951, 97815.366316
32, 50:50, 4, 228683, 7146.368122, 497527.479975, 228764, 7148.897633, 61215.735521
128, 50:50, 4, 265118, 2071.237627, 1573378.094565, 264045, 2062.85673, 354848.212367
8, 50:50, 1024, 195381, 24422.672993, 22808519.016666, 195076, 24384.609233, 19144693.662331
16, 70:30, 8, 339086, 21192.88786, 364774.790061, 145479, 9092.490903, 28485.167991
128, 50:50, 8, 282182, 2204.552445, 2870319.237355, 281040, 2195.632113, 757487.154613
16, 70:30, 256, 364296, 22768.533656, 10358474.269356, 156295, 9768.498116, 2060600.829608
4, 70:30, 4, 156879, 39219.986535, 96056.959277, 67259, 16814.976895, 12671.154351
128, 0:100, 1, 0, 0.0, 0.0, 336828, 2631.470027, 376640.238754
4, 50:50, 1024, 188937, 47234.279527, 12013150.02469, 188726, 47181.60724, 9673910.653141
8, 70:30, 1, 105439, 13179.93439, 68780.971334, 45201, 5650.127004, 15251.483364
128, 0:100, 1024, 0, 0.0, 0.0, 332568, 2598.192798, 394071477.22807
32, 100:0, 8, 1102462, 34451.945511, 231923.893493, 0, 0.0, 0.0
64, 100:0, 8, 1441628, 22525.440409, 354835.877141, 0, 0.0, 0.0
128, 70:30, 1, 252703, 1974.246602, 415945.013469, 107950, 843.362222, 199969.92179
16, 0:100, 4, 0, 0.0, 0.0, 389233, 24327.124409, 164022.817566
32, 50:50, 256, 235865, 7370.792669, 18366148.222141, 235948, 7373.401617, 16356880.973017
4, 50:50, 1, 67812, 16953.149435, 46184.336055, 67736, 16934.244496, 12031.564774
4, 70:30, 1, 81327, 20331.910809, 43590.87555, 34867, 8716.999691, 11764.37816
4, 50:50, 4, 121265, 30316.322478, 118408.779092, 121130, 30282.515886, 12821.5422
64, 0:100, 256, 0, 0.0, 0.0, 436184, 6815.382783, 37558620.917451
32, 0:100, 4, 0, 0.0, 0.0, 326332, 10197.892533, 391762.524739
128, 70:30, 4, 407439, 3183.120956, 1151788.817537, 174050, 1359.771347, 237650.04814
32, 50:50, 1024, 232931, 7279.120809, 71614802.962546, 233014, 7281.697309, 69022097.137767
32, 70:30, 32, 406825, 12713.298928, 2493798.964512, 174691, 5459.110758, 52769.607381
16, 70:30, 1, 28325, 1770.36863, 106280.02375, 12152, 759.550127, 1067248.501954
8, 100:0, 1024, 805345, 100668.206059, 10171163.032077, 0, 0.0, 0.0
64, 70:30, 1, 200140, 3127.197518, 272816.383448, 85675, 1338.686074, 101777.300602
16, 50:50, 4, 190716, 11919.752283, 309063.317284, 190445, 11902.864875, 25818.122045
4, 100:0, 1, 102558, 25639.634531, 38622.521713, 0, 0.0, 0.0
16, 0:100, 1, 0, 0.0, 0.0, 388151, 24259.439837, 40883.290761
64, 70:30, 4, 383039, 5984.988237, 629664.797338, 163970, 2562.044886, 88390.185078
16, 70:30, 4, 282447, 17652.953819, 215334.574842, 121179, 7573.735258, 25121.47263
32, 0:100, 256, 0, 0.0, 0.0, 323293, 10102.913264, 25338029.654824
8, 50:50, 1, 88996, 11124.55987, 75236.052825, 88857, 11107.221777, 13880.010369
